agence_cat,biblionumber,collection,collection1,collection2,collection3,collection4,date_transaction,element_initial,point_acces,subd_chrono,subd_forme,subd_geo,subd_sujet,support,unimarc
Roubaix,476,"Patrimoine - Patrimoine écrit",Patrimoine,"Patrimoine écrit",INC,INC,2007-08-28,Bibliothèques,"Bibliothèques - France - 20e siècle","20e siècle",ABS,France,ABS,Livre,f606
Roubaix,477,"Adultes - Musique et arts vivants - Musique - Reggae",Adultes,"Musique et arts vivants",Musique,Reggae,2007-08-28,"Reggae (musique)","Reggae (musique) - Disques - Jamaïque",ABS,ABS,Jamaïque,Disques,"Disque compact",f606
Roubaix,477,"Adultes - Musique et arts vivants - Musique - Reggae",Adultes,"Musique et arts vivants",Musique,Reggae,2007-08-28,052.2,052.2,ABS,ABS,ABS,ABS,"Disque compact",f679
BnF,483,"Adultes - Littératures - Romans - Romans",Adultes,Littératures,Romans,Romans,1983-11-03,"83 ","83 ",ABS,ABS,ABS,ABS,Livre,f686
BnF,491,"Adultes - Littératures - Romans - Romans",Adultes,Littératures,Romans,Romans,1974-01-01,823,823,ABS,ABS,ABS,ABS,Livre,f686
BnF,495,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1988-02-12,Bibliothéconomie,"Bibliothéconomie - Bibliographie",ABS,ABS,ABS,Bibliographie,Livre,f606
BnF,495,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1988-02-12,Documentation,"Documentation - Bibliographie",ABS,ABS,ABS,Bibliographie,Livre,f606
BnF,495,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1988-02-12,"Bibliothèques d'écoles secondaires","Bibliothèques d'écoles secondaires - Bibliographie - France",ABS,ABS,France,Bibliographie,Livre,f606
BnF,495,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1988-02-12,"0  ","0  ",ABS,ABS,ABS,ABS,Livre,f686
BnF,496,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1989-01-16,"Bibliothèques d'écoles secondaires","Bibliothèques d'écoles secondaires - Bibliographie - France",ABS,ABS,France,Bibliographie,Livre,f606
BnF,496,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1989-01-16,Bibliothéconomie,"Bibliothéconomie - Bibliographie",ABS,ABS,ABS,Bibliographie,Livre,f606
BnF,496,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1989-01-16,Documentation,"Documentation - Bibliographie",ABS,ABS,ABS,Bibliographie,Livre,f606
BnF,496,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1989-01-16,"0  ","0  ",ABS,ABS,ABS,ABS,Livre,f686
BnF,497,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1991-08-01,"Littérature pour la jeunesse","Littérature pour la jeunesse - Bibliographie",ABS,ABS,ABS,Bibliographie,Livre,f606
BnF,497,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1991-08-01,Enfants,"Enfants - Guides pratiques et mémentos",ABS,ABS,ABS,"Guides pratiques et mémentos",Livre,f606
BnF,497,"Adultes - Comprendre et se former - Bibliothèque professionnelle",Adultes,"Comprendre et se former","Bibliothèque professionnelle",INC,1991-08-01,"0  ","0  ",ABS,ABS,ABS,ABS,Livre,f686
Roubaix,498,"Jeunesse - Musique",Jeunesse,Musique,INC,INC,2007-08-28,"Danse pour enfants","Danse pour enfants - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,498,"Jeunesse - Musique",Jeunesse,Musique,INC,INC,2007-08-28,"Musique traditionnelle","Musique traditionnelle - Disques",ABS,ABS,ABS,Disques,"Disque compact",f606
Roubaix,498,"Jeunesse - Musique",Jeunesse,Musique,INC,INC,2007-08-28,732,732,ABS,ABS,ABS,ABS,"Disque compact",f679
Roubaix,499,"Adultes - Musique et arts vivants - Musique - Reggae",Adultes,"Musique et arts vivants",Musique,Reggae,2007-08-28,"Reggae (musique)","Reggae (musique) - Disques - Jamaïque",ABS,ABS,Jamaïque,Disques,"Disque compact",f606
Roubaix,499,"Adultes - Musique et arts vivants - Musique - Reggae",Adultes,"Musique et arts vivants",Musique,Reggae,2007-08-28,052.2,052.2,ABS,ABS,ABS,ABS,"Disque compact",f679
